"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_CASH","RELIANCE","0","0","58.65","0","11","2524.8727","11","2530.2045","0","0"
"NSE_CASH","RELIANCE","-5","2971.7","0","-2383.9","0","0","5","2494.92","-5","-12474.6"
"NSE_CASH","BANKBARODA","0","0","82.65","0","1","107.4","1","190.05","0","0"
"NSE_CASH","BANKBARODA","499","264.05","0","78168.35","499","107.4","0","0","499","53592.600000000006"
"NSE_CASH","GAIL","0","0","146.7256","0","2","103.7372","2","177.1","0","0"
"NSE_CASH","GAIL","1149","181.05","0","88530.5649","1149","103.9999","0","0","1149","119495.8851"
"NSE_CASH","PNB","0","0","374.4","0","737","88.242","737","88.75","0","0"
"NSE_CASH","PNB","105","124.4","0","3654","105","89.6","0","0","105","9408"
"NSE_CASH","EMBASSY","200","369.61","0","-3678","200","388","0","0","200","77600"
"NSE_CASH","GRASIM","1","2287.3","0","216.55","1","2070.75","0","0","1","2070.75"
"NSE_CASH","ICICIBANK","100","1093.3","0","33052.45","100","762.7755","0","0","100","76277.55"
"NSE_CASH","BHEL","1631","247.3","0","311365.8919","1631","56.3951","0","0","1631","91980.4081"
"NSE_CASH","BHARTIARTL","100","1228.6","0","50476.5","100","723.835","0","0","100","72383.5"
"NSE_CASH","TCS","44","3876.3","0","4780.6","44","3767.65","0","0","44","165776.6"
"NSE_CASH","CANBK","200","116.21","0","-25258","200","242.5","0","0","200","48500"
"NSE_CASH","IRB","3500","58.55","0","113423.45","3500","26.1433","0","0","3500","91501.55"